date,hits,keyword,geo,time,gprop,category
2020-05-31T00:00:00Z,27,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-06-07T00:00:00Z,13,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-06-14T00:00:00Z,14,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-06-21T00:00:00Z,14,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-06-28T00:00:00Z,14,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-07-05T00:00:00Z,14,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-07-12T00:00:00Z,0,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-07-19T00:00:00Z,15,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-07-26T00:00:00Z,0,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-08-02T00:00:00Z,0,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-08-09T00:00:00Z,0,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-08-16T00:00:00Z,0,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-08-23T00:00:00Z,0,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-08-30T00:00:00Z,28,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-09-06T00:00:00Z,29,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-09-13T00:00:00Z,14,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-09-20T00:00:00Z,14,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-09-27T00:00:00Z,43,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-10-04T00:00:00Z,14,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-10-11T00:00:00Z,15,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-10-18T00:00:00Z,15,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-10-25T00:00:00Z,43,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-11-01T00:00:00Z,13,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
