date,hits,keyword,geo,time,gprop,category
2020-05-24T00:00:00Z,13,casapound,IT,2020-01-01 2022-02-28,web,0
2020-05-31T00:00:00Z,100,casapound,IT,2020-01-01 2022-02-28,web,0
2020-06-07T00:00:00Z,31,casapound,IT,2020-01-01 2022-02-28,web,0
2020-06-14T00:00:00Z,12,casapound,IT,2020-01-01 2022-02-28,web,0
2020-06-21T00:00:00Z,9,casapound,IT,2020-01-01 2022-02-28,web,0
2020-06-28T00:00:00Z,8,casapound,IT,2020-01-01 2022-02-28,web,0
2020-07-05T00:00:00Z,7,casapound,IT,2020-01-01 2022-02-28,web,0
2020-07-12T00:00:00Z,8,casapound,IT,2020-01-01 2022-02-28,web,0
2020-07-19T00:00:00Z,7,casapound,IT,2020-01-01 2022-02-28,web,0
2020-08-02T00:00:00Z,15,casapound,IT,2020-01-01 2022-02-28,web,0
2020-08-09T00:00:00Z,8,casapound,IT,2020-01-01 2022-02-28,web,0
2020-08-16T00:00:00Z,8,casapound,IT,2020-01-01 2022-02-28,web,0
2020-08-23T00:00:00Z,7,casapound,IT,2020-01-01 2022-02-28,web,0
2020-08-30T00:00:00Z,7,casapound,IT,2020-01-01 2022-02-28,web,0
2020-09-06T00:00:00Z,10,casapound,IT,2020-01-01 2022-02-28,web,0
2020-09-13T00:00:00Z,11,casapound,IT,2020-01-01 2022-02-28,web,0
2020-09-20T00:00:00Z,9,casapound,IT,2020-01-01 2022-02-28,web,0
2020-10-04T00:00:00Z,7,casapound,IT,2020-01-01 2022-02-28,web,0
2020-10-11T00:00:00Z,8,casapound,IT,2020-01-01 2022-02-28,web,0
2020-10-25T00:00:00Z,12,casapound,IT,2020-01-01 2022-02-28,web,0
2020-12-06T00:00:00Z,15,casapound,IT,2020-01-01 2022-02-28,web,0
2020-12-13T00:00:00Z,6,casapound,IT,2020-01-01 2022-02-28,web,0
2021-01-03T00:00:00Z,7,casapound,IT,2020-01-01 2022-02-28,web,0
2021-01-10T00:00:00Z,6,casapound,IT,2020-01-01 2022-02-28,web,0
2021-01-24T00:00:00Z,6,casapound,IT,2020-01-01 2022-02-28,web,0
2021-01-31T00:00:00Z,6,casapound,IT,2020-01-01 2022-02-28,web,0
2021-02-07T00:00:00Z,7,casapound,IT,2020-01-01 2022-02-28,web,0
2021-02-21T00:00:00Z,9,casapound,IT,2020-01-01 2022-02-28,web,0
2021-02-28T00:00:00Z,7,casapound,IT,2020-01-01 2022-02-28,web,0
2021-03-28T00:00:00Z,6,casapound,IT,2020-01-01 2022-02-28,web,0
2021-04-04T00:00:00Z,9,casapound,IT,2020-01-01 2022-02-28,web,0
2021-04-11T00:00:00Z,10,casapound,IT,2020-01-01 2022-02-28,web,0
2021-04-18T00:00:00Z,7,casapound,IT,2020-01-01 2022-02-28,web,0
2021-04-25T00:00:00Z,8,casapound,IT,2020-01-01 2022-02-28,web,0
2021-05-02T00:00:00Z,6,casapound,IT,2020-01-01 2022-02-28,web,0
2021-05-09T00:00:00Z,7,casapound,IT,2020-01-01 2022-02-28,web,0
2021-05-16T00:00:00Z,6,casapound,IT,2020-01-01 2022-02-28,web,0
2021-05-23T00:00:00Z,8,casapound,IT,2020-01-01 2022-02-28,web,0
2021-05-30T00:00:00Z,9,casapound,IT,2020-01-01 2022-02-28,web,0
2021-06-27T00:00:00Z,7,casapound,IT,2020-01-01 2022-02-28,web,0
2021-07-18T00:00:00Z,6,casapound,IT,2020-01-01 2022-02-28,web,0
2021-07-25T00:00:00Z,8,casapound,IT,2020-01-01 2022-02-28,web,0
